Sample Location,Sample Description #1,Lab Number,Total Exchange Capacity (meq/100 g),pH,Organic Matter (%),Estimated Nitrogen Release (# N/acre),S* (ppm),P* (mg/kg),Ca* (mg/kg),Mg* (mg/kg),K* (mg/kg),Na* (mg/kg),Ca** (%),Mg** (%),K** (%),Na** (%),Other Bases** (%),H** (%),B* (mg/kg),Fe* (mg/kg),Mn* (mg/kg),Cu* (mg/kg),Zn* (mg/kg),Al* (mg/kg),NO3-N (ppm),NH4-N (ppm),Bray I P (ppm)
SOS-0033,-,2249-1,21.17,6.2,6.72,109,8,112,2533,467,343,22,59.83,18.38,4.15,0.45,5.2,12,0.79,138,113,1.68,2.68,427,19.9,1.1,89
SOS-0034,-,2250-1,19.78,6.7,5.99,105,7,156,2392,542,538,24,60.47,22.83,6.97,0.53,4.7,4.5,0.76,117,91,1.72,3.53,321,10.1,0.6,121
SOS-0035,-,2251-1,21.75,6.5,8.56,118,6,104,2480,608,572,27,57.01,23.3,6.74,0.54,4.9,7.5,1.08,119,63,1.32,2.79,305,9.7,0.9,83
SOS-0036,-,2252-1,21.09,6.8,5.19,101,5,104,2414,635,790,24,57.23,25.09,9.6,0.49,4.6,3,0.66,108,55,1.62,2.75,370,6.8,< 0.5,80
SOS-0037,-,2253-1,21.81,6.7,5.39,102,6,88,2755,555,493,32,63.16,21.21,5.8,0.64,4.7,4.5,0.86,104,89,1.72,3.26,386,13.3,0.8,60
SOS-0038,-,2254-1,20.51,5.6,8.91,120,9,126,1789,418,451,26,43.61,16.98,5.64,0.55,6.2,27,0.74,176,98,1.45,3.49,477,29.1,1,91
SOS-0039,-,2255-1,20.76,6.6,6.97,110,6,71,2508,567,421,40,60.4,22.76,5.2,0.84,4.8,6,0.82,95,59,1.67,2.81,321,16.2,0.8,56
SOS-0040,-,2256-1,22.15,6.5,6.86,109,6,88,2573,630,411,53,58.08,23.7,4.76,1.04,4.9,7.5,0.65,107,51,1.72,2.5,371,11.6,< 0.5,66
SOS-0041,-,2257-1,26.59,6.7,6.28,106,5,104,3326,716,533,42,62.54,22.44,5.14,0.69,4.7,4.5,0.76,78,66,1.88,1.92,318,8.9,0.6,75
SOS-0042,-,2258-1,26.19,6.8,6.25,106,5,107,3473,637,524,43,66.3,20.27,5.13,0.71,4.6,3,0.81,101,72,1.86,1.92,378,8.9,0.7,78
SOS-0043,-,2259-1,24.26,7.2,6.81,109,7,137,3029,651,979,37,62.43,22.36,10.35,0.66,4.2,0,1.01,85,57,2.17,3.28,295,9.4,< 0.5,94
