"","SOS-1","SOS-10","SOS-11","SOS-12","SOS-13","SOS-14","SOS-15","SOS-16","SOS-17","SOS-18","SOS-19","SOS-2","SOS-20","SOS-21","SOS-22","SOS-23","SOS-24","SOS-25","SOS-26","SOS-27","SOS-28","SOS-29","SOS-3","SOS-30","SOS-31","SOS-32","SOS-33","SOS-35","SOS-37","SOS-38","SOS-39","SOS-4","SOS-44","SOS-46","SOS-47","SOS-48","SOS-49","SOS-5","SOS-50","SOS-51","SOS-52","SOS-53","SOS-55","SOS-56","SOS-6","SOS-7","SOS-8","SOS-9"
"OTU17"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","38"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"OTU18","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","257","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","191","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"OTU19","   0","   0","   0","   0","   0","   0","   0","  20","   0","   0","  83","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","1630","   0"," 132","   0"," 174","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  46","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"OTU20","  0","  0","  0","  0","  0","  0","  9","  0","  0","  0"," 50","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","107"," 92"," 34"
"OTU21"," 529","  78","   0","   0","  42","  64"," 139","   0","  36","  57","  49"," 246","   0","  14"," 282"," 203","   0"," 759","   0"," 305","   0","   0","  14","   0","   0","   0","   0","   0","   0","  69","   0","  19","   0","   0","  19","   0"," 199"," 120"," 407","   0","   0"," 160","1413","  55","   0","  56"," 189","  11"
"OTU22","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 227","  11","   0","  12","  77","   0","   0","   0","   0","   0","   0","1663","   0","  44","  11"," 170","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  22","   0","   0","   0","   0"
"OTU23","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","320","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 36","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"OTU24"," 0","31"," 0"," 0"," 0","13"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","65"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","21"," 0"
"OTU25","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","148","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 14","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"OTU26","   0","  58","  10","   0","   0","   0","   0","   0","   0","   0","   0"," 288","   0","   0","   0","   0"," 677","   0","   0","   0","   0","   0","   0","   0","   0","   0","  26"," 322","2040","5380","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"OTU27"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","15"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","30"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","17"," 0"
"OTU28","138","  0","  6","  0","  0"," 44","100","  9"," 73"," 22"," 64"," 26"," 55","  0"," 35","445","123","  0","  0","  0","  0","  0"," 43","  0","  0"," 18","  0"," 17","  7","181"," 83","  0"," 58","  0","  0","152","117"," 34","  0"," 19","124","  0","  0","207"," 46","  0","105","  0"
"OTU29"," 35","  4","  0","  0"," 43","204","  0"," 10","  0"," 22","  0","  0","  0"," 29","  0","  0","  0","178","  0","  0","  0","  0","  9","553","  0","  0","  0","  0","  0","  0","  0"," 11","  0","  0","  0"," 85","  0"," 86"," 23","125"," 29","  0","  0","  0"," 21","  0","  0","  0"
"OTU30","135","  0","  0","  0","  0","  0","188"," 25"," 88"," 71"," 43","  0","129","118","  0","  0","  0","  0"," 30","  0","  0","  0"," 14","  0"," 19","  0","  0","  0","  0","195"," 15","  0"," 46","  0"," 12","  0"," 21","  0","  0","  0","  0","  0","  0","  0"," 23","138"," 60"," 23"
"OTU31","   0","   0","   0","   0","   0","   0"," 490","  51","  47"," 109","   0","   0","1204","1272"," 577","   0","  56","  24","   0","   0","   0","   0","   0","   0","  32"," 215","   0","   0","   0","   0"," 176","   0","   0","  32"," 620","  15","   0","   0","  13","   0"," 540","  19","   0","   0","   0","   0","   0","   0"
"OTU32","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","860","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"OTU33","   0","  24","   0"," 398"," 967","  60"," 658","   0","  60","  40"," 752"," 155"," 178","  97","  54","   0","   0","  43","1005","  20","  54","7017"," 395","  86","   0","  35","   0","  18","   0","   0","  35","   0"," 180","  39"," 152"," 127","5833"," 330"," 308"," 192"," 447"," 112","   0","   0"," 227","  46","  47","1652"
"OTU34","  0","326","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5"
"OTU35"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","13"," 0"," 0"," 0"," 0"," 0"," 0","82","15"," 0"," 0"," 0","77"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","26"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"OTU36","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  49","   0","   0","   0","   0","   0","  34","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  48","   0","1619","   0","   0","   0","   0"
"OTU37"," 37","  0","  0","  0"," 50","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","244","  0","  0","  0","  0"," 13","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"OTU38","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 88"," 51","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","844","  0","  0","  0","  0","  0"
"OTU39"," 48","373","  0","  0","  0"," 77","134","  0"," 21"," 43"," 96","  0","  0","  0","  0","  0","  0","  0"," 36","  0","  0","  0","  0","814","146","739","  0"," 22","  0","  0","  0","  0","426","  0","  0","142","  0","213"," 64"," 70","  0","  0","  0","  0","112","380","203","546"
"OTU40","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","275","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"OTU41"," 119","  79","   0","   0","  58"," 429"," 194","   0","   9","   0","  60","  17","   0","   3","   0","5498"," 874","  68"," 241","  60"," 136"," 113","   0","   0","   0","   0","   0","  36","   0"," 119","   0","   0","  16","   0","   0","   0"," 701","   0","  29","  87","   0","   0","   0","  67","   0","  61"," 179","   0"
"OTU42","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","199","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 36","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 22","  0","  0","  0","  0"
"OTU43","  0","  0","  0","  0"," 41"," 14"," 33"," 16","  0","  0"," 59","  0","  0","  8","  0"," 53","  0","  0","165","  0","  0","  0","  0","  0","  0","  0","  0"," 43","297"," 58","205","  0","  0","  0","  0"," 39","  0"," 77","  8","  0","  0","  0","  0","  0","119"," 11","  0"," 18"
"OTU44","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","4218","   0","   0","   0","   0","  88","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"OTU45","369"," 14","  0","  0","  0"," 42","209","  0","  0","  0"," 15"," 22"," 28","169"," 44","  0"," 95"," 56","  0","  0","  0","  0","  0"," 92","  0","  0","  0","  0","  0","  0","  0"," 10","  0"," 51","  0","  0","  0"," 33","  0","  0","  0","  0","109"," 53","  0","  0"," 83","  0"
"OTU46","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 139","  55","   0","   0","  61","   0","   0","   0","   0","   0"," 127","   0","   0","   0","   7","   0","   0","   0","   0","   0"," 286"," 290","   0"," 694","   0","  17","   0","   0","   0","   0","   0","1759","   0","  18","   0"
