old_plate,old_column,old_row,plate_number,column,row
4,7,b,2-composite,12,b
4,7,c,2-composite,12,c
4,8,a,2-composite,12,d
4,8,b,2-composite,12,e
4,8,c,2-composite,12,f
4,8,d,2-composite,12,g
4,8,e,2-composite,12,h
4,8,f,3-composite,1,a
4,8,g,3-composite,1,b
4,8,h,3-composite,1,c
4,9,a,3-composite,1,d
4,9,b,3-composite,1,e
4,9,c,3-composite,1,f
4,10,a,3-composite,1,g
4,10,b,3-composite,1,h
4,10,c,3-composite,2,a
4,10,d,3-composite,2,b
3,6,b,3-composite,3,a
3,6,c,3-composite,3,b
3,6,d,3-composite,3,c
3,6,e,3-composite,3,d
3,6,f,3-composite,3,e
3,6,g,3-composite,3,f
