Kingdom,Phylum,Class,Order,Family,Genus,Species,sos_core_id,plate_number,column,row
k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Tarzetta,NA,SOS-044,3,5,e
k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Tarzetta,NA,SOS-038,4,1,e
k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Tarzetta,NA,SOS-047,4,10,d
k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Tuberaceae,g__Tuber,s__whetstonense,SOS-053,2,6,d
k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Tuberaceae,g__Tuber,s__whetstonense,SOS-053,2,6,g
k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Tuberaceae,g__Tuber,s__whetstonense,SOS-055,2,11,d
k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Tuberaceae,g__Tuber,s__whetstonense,SOS-055,2,11,c
k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Tuberaceae,g__Tuber,s__whetstonense,SOS-053,2,6,c
k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Tuberaceae,g__Tuber,s__whetstonense,SOS-055,2,11,b
k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,NA,SOS-055,2,12,d
k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,NA,SOS-055,2,12,f
k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,NA,SOS-055,2,12,a
k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,NA,SOS-055,2,11,g
k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,NA,SOS-055,2,12,h
k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,NA,SOS-055,2,11,e
k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Boletales,f__Melanogastraceae,g__Melanogaster,NA,SOS-004,2,2,d
k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Boletales,f__Melanogastraceae,g__Melanogaster,NA,SOS-004,2,2,b
k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Boletales,f__Melanogastraceae,g__Melanogaster,NA,SOS-004,2,2,e
k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Boletales,f__Melanogastraceae,g__Melanogaster,NA,SOS-004,2,3,d
k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Boletales,f__Melanogastraceae,g__Melanogaster,NA,SOS-004,2,3,h
k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,NA,SOS-035,3,3,h
k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,NA,SOS-035,3,3,d
k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,NA,SOS-035,3,3,b
k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,NA,SOS-035,3,3,c
k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA,SOS-020,3,11,e
k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA,SOS-051,3,8,h
k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Russulaceae,g__Russula,s__quercilicis,SOS-035,3,3,a
k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Russulaceae,g__Russula,s__quercilicis,SOS-038,4,1,g
k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA,SOS-038,4,1,d
k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA,SOS-038,4,2,f
