Site,Plot,plot.number,Species,Tag,Date,pd_md,water_potential_mpa
LL,Weathertop,ExtraBlueHilltop,blue oak,2381,3/4/2022,midday,1.74
LL,Weathertop,ExtraBlueHilltop,blue oak,2381,3/4/2022,midday,1.53
LL,Weathertop,ExtraBlueHilltop,blue oak,2381,3/4/2022,midday,1.69
LL,Weathertop,ExtraBlueHilltop,blue oak,2381,3/4/2022,midday,2.91
LL,Weathertop,ExtraBlueHilltop,blue oak,2381,3/4/2022,midday,1.2
LL,Weathertop,ExtraBlueHilltop,blue oak,2382,3/4/2022,midday,1.44
LL,Weathertop,ExtraBlueHilltop,blue oak,2382,3/4/2022,midday,1.3
LL,Weathertop,ExtraBlueHilltop,blue oak,2382,3/4/2022,midday,1.35
LL,Weathertop,ExtraBlueHilltop,blue oak,2382,3/4/2022,midday,1.55
LL,Weathertop,ExtraBlueHilltop,blue oak,2382,3/4/2022,midday,1.6
LL,Weathertop,ExtraBlueHilltop,blue oak,2384,3/4/2022,midday,1.55
LL,Weathertop,ExtraBlueHilltop,blue oak,2384,3/4/2022,midday,1.35
LL,Weathertop,ExtraBlueHilltop,blue oak,2384,3/4/2022,midday,1.35
LL,Hobbiton,AT002,live oak,2345,4/4/2022,pre-dawn,1.708
LL,Hobbiton,AT004,live oak,2301,4/4/2022,pre-dawn,3.043
LL,Hobbiton,AT004,live oak,2301,4/4/2022,pre-dawn,1.746
LL,Hobbiton,AT004,live oak,2301,4/4/2022,pre-dawn,1.963
Cucu Mesa,High,Cucu Mesa,blue oak,2004,4/4/2022,pre-dawn,0.405
Cucu Mesa,High,Cucu Mesa,blue oak,2004,4/4/2022,pre-dawn,0.284
Cucu Mesa,High,Cucu Mesa,blue oak,2004,4/4/2022,pre-dawn,0.393
Cucu Mesa,High,Cucu Mesa,blue oak,2004,4/4/2022,pre-dawn,0.475
Cucu Mesa,High,Cucu Mesa,blue oak,2004,4/4/2022,midday,2.4
Cucu Mesa,High,Cucu Mesa,blue oak,2004,4/4/2022,midday,2.35
Cucu Mesa,High,Cucu Mesa,blue oak,2004,4/4/2022,midday,2.4
Cucu Mesa,High,Cucu Mesa,blue oak,2005,4/4/2022,pre-dawn,0.428
Cucu Mesa,High,Cucu Mesa,blue oak,2005,4/4/2022,pre-dawn,0.431
Cucu Mesa,High,Cucu Mesa,blue oak,2005,4/4/2022,midday,2.1
Cucu Mesa,High,Cucu Mesa,blue oak,2005,4/4/2022,midday,2.15
Cucu Mesa,High,Cucu Mesa,blue oak,2005,4/4/2022,midday,2.15
Cucu Mesa,High,Cucu Mesa,blue oak,2006,4/4/2022,pre-dawn,0.509
Cucu Mesa,High,Cucu Mesa,blue oak,2006,4/4/2022,pre-dawn,0.592
Cucu Mesa,High,Cucu Mesa,blue oak,2006,4/4/2022,pre-dawn,0.521
Cucu Mesa,High,Cucu Mesa,blue oak,2006,4/4/2022,midday,2.1
Cucu Mesa,High,Cucu Mesa,blue oak,2006,4/4/2022,midday,2.1
Cucu Mesa,High,Cucu Mesa,blue oak,2006,4/4/2022,midday,2.2
Cucu Mesa,High,Cucu Mesa,blue oak,2007,4/4/2022,pre-dawn,0.4
Cucu Mesa,High,Cucu Mesa,blue oak,2007,4/4/2022,pre-dawn,0.271
Cucu Mesa,High,Cucu Mesa,blue oak,2007,4/4/2022,pre-dawn,0.376
Cucu Mesa,High,Cucu Mesa,blue oak,2007,4/4/2022,pre-dawn,0.42
Cucu Mesa,High,Cucu Mesa,blue oak,2007,4/4/2022,midday,2.1
Cucu Mesa,High,Cucu Mesa,blue oak,2007,4/4/2022,midday,2.1
LL,Rohan,near 2380,LEU,LL-LEU,4/4/2022,pre-dawn,0.088
LL,Rohan,near 2380,LEU,LL-LEU,4/4/2022,pre-dawn,0.09
LL,Rohan,near 2380,LEU,LL-LEU,4/4/2022,pre-dawn,0.091
LL,Rohan,near 2380,LEU,LL-LEU,4/4/2022,pre-dawn,0.18
LL,Rohan,near 2380,LEU,LL-LEU,4/4/2022,pre-dawn,0.6
Chamise,Chamise,Chamise,LEU,Chamise-LEU,4/4/2022,pre-dawn,0.904
Chamise,Chamise,Chamise,LEU,Chamise-LEU,4/4/2022,pre-dawn,0.8
Chamise,Chamise,Chamise,LEU,Chamise-LEU,4/4/2022,pre-dawn,0.944
Chamise,Chamise,Chamise,LEU,Chamise-LEU,4/4/2022,pre-dawn,0.82
Chamise,Chamise,Chamise,LEU,Chamise-LEU,4/4/2022,pre-dawn,0.826
Chamise,Chamise,Chamise,LEU,Chamise-LEU,4/4/2022,pre-dawn,0.831
Chamise,Chamise,Chamise,LEU,Chamise-LEU,4/4/2022,pre-dawn,0.862
Cucu Mesa,High,Cucu Mesa,LEU,Cucu-LEU,4/4/2022,midday,1.45
Cucu Mesa,High,Cucu Mesa,LEU,Cucu-LEU,4/4/2022,midday,1.45
LL,Rohan,near 2380,ARCA,LL-ARCA,4/4/2022,pre-dawn,0.584
LL,Rohan,near 2380,ARCA,LL-ARCA,4/4/2022,pre-dawn,0.443
LL,Rohan,near 2380,ARCA,LL-ARCA,4/4/2022,pre-dawn,0.716
LL,Rohan,near 2380,ARCA,LL-ARCA,4/4/2022,pre-dawn,0.992
LL,Rohan,near 2380,ARCA,LL-ARCA,4/4/2022,pre-dawn,0.445
Chamise,Chamise,Chamise,ARCA,Chamise-ARCA,4/4/2022,pre-dawn,0.383
Chamise,Chamise,Chamise,ARCA,Chamise-ARCA,4/4/2022,pre-dawn,0.592
Chamise,Chamise,Chamise,ARCA,Chamise-ARCA,4/4/2022,pre-dawn,0.571
Chamise,Chamise,Chamise,ARCA,Chamise-ARCA,4/4/2022,pre-dawn,0.65
Chamise,Chamise,Chamise,ARCA,Chamise-ARCA,4/4/2022,pre-dawn,0.62
Chamise,Chamise,Chamise,ARCA,Chamise-ARCA,4/4/2022,pre-dawn,0.718
Chamise,Chamise,Chamise,ARCA,Chamise-ARCA,4/4/2022,pre-dawn,0.428
Chamise,Chamise,Chamise,ARCA,Chamise-ARCA,4/4/2022,pre-dawn,0.608
Cucu Mesa,High,Cucu Mesa,ARCA,Cucu-ARCA,4/4/2022,pre-dawn,0.108
Cucu Mesa,High,Cucu Mesa,ARCA,Cucu-ARCA,4/4/2022,pre-dawn,0.325
Cucu Mesa,High,Cucu Mesa,ARCA,Cucu-ARCA,4/4/2022,pre-dawn,0.448
Cucu Mesa,High,Cucu Mesa,ARCA,Cucu-ARCA,4/4/2022,pre-dawn,0.582
Cucu Mesa,High,Cucu Mesa,ARCA,Cucu-ARCA,4/4/2022,pre-dawn,0.742
Cucu Mesa,High,Cucu Mesa,ARCA,Cucu-ARCA,4/4/2022,pre-dawn,0.568
Cucu Mesa,High,Cucu Mesa,ARCA,Cucu-ARCA,4/4/2022,pre-dawn,0.248
Cucu Mesa,High,Cucu Mesa,ARCA,Cucu-ARCA,4/4/2022,pre-dawn,0.343
PineNeedle,Low,low Pine Needle,live oak,2093,4/4/2022,pre-dawn,0.196
PineNeedle,Low,low Pine Needle,live oak,2093,4/4/2022,pre-dawn,0.111
PineNeedle,Low,low Pine Needle,live oak,2093,4/4/2022,pre-dawn,0.15
PineNeedle,Low,low Pine Needle,live oak,2093,4/4/2022,pre-dawn,0.16
PineNeedle,Low,low Pine Needle,live oak,2092,4/4/2022,pre-dawn,0.108
PineNeedle,Low,low Pine Needle,live oak,2092,4/4/2022,pre-dawn,0.114
PineNeedle,Low,low Pine Needle,live oak,2092,4/4/2022,pre-dawn,0.106
PineNeedle,Low,low Pine Needle,live oak,2091,4/4/2022,pre-dawn,0.105
PineNeedle,Low,low Pine Needle,live oak,2091,4/4/2022,pre-dawn,0.15
PineNeedle,Low,low Pine Needle,live oak,2091,4/4/2022,pre-dawn,0.128
PineNeedle,Low,low Pine Needle,live oak,2091,4/4/2022,pre-dawn,0.133
PineNeedle,Low,low Pine Needle,blue oak,2090,4/4/2022,pre-dawn,0.956
PineNeedle,Low,low Pine Needle,blue oak,2090,4/4/2022,pre-dawn,0.816
PineNeedle,Low,low Pine Needle,blue oak,2090,4/4/2022,pre-dawn,0.852
PineNeedle,Low,low Pine Needle,live oak,2089,4/4/2022,pre-dawn,0.271
PineNeedle,Low,low Pine Needle,live oak,2089,4/4/2022,pre-dawn,0.25
PineNeedle,Low,low Pine Needle,live oak,2089,4/4/2022,pre-dawn,0.15
PineNeedle,Low,low Pine Needle,live oak,2089,4/4/2022,pre-dawn,0.27
PineNeedle,Low,low Pine Needle,live oak,2089,4/4/2022,pre-dawn,0.16
PineNeedle,Low,low Pine Needle,blue oak,2088,4/4/2022,pre-dawn,0.194
PineNeedle,Low,low Pine Needle,blue oak,2088,4/4/2022,pre-dawn,0.208
PineNeedle,Low,low Pine Needle,blue oak,2088,4/4/2022,pre-dawn,0.219
PineNeedle,Low,low Pine Needle,blue oak,2088,4/4/2022,pre-dawn,0.183
PineNeedle,Low,low Pine Needle,blue oak,2087,4/4/2022,pre-dawn,0.598
PineNeedle,Low,low Pine Needle,blue oak,2087,4/4/2022,pre-dawn,0.74
PineNeedle,Low,low Pine Needle,blue oak,2087,4/4/2022,pre-dawn,0.513
PineNeedle,Low,low Pine Needle,blue oak,2086,4/4/2022,pre-dawn,0.888
PineNeedle,Low,low Pine Needle,blue oak,2086,4/4/2022,pre-dawn,0.625
PineNeedle,Low,low Pine Needle,blue oak,2086,4/4/2022,pre-dawn,0.756
PineNeedle,Low,low Pine Needle,blue oak,2086,4/4/2022,midday,1.4
PineNeedle,Low,low Pine Needle,blue oak,2086,4/4/2022,midday,0.8
PineNeedle,Low,low Pine Needle,blue oak,2086,4/4/2022,midday,0.75
PineNeedle,Low,low Pine Needle,blue oak,2086,4/4/2022,midday,0.5
PineNeedle,Low,low Pine Needle,blue oak,2085,4/4/2022,pre-dawn,0.418
PineNeedle,Low,low Pine Needle,blue oak,2085,4/4/2022,pre-dawn,0.605
PineNeedle,Low,low Pine Needle,blue oak,2085,4/4/2022,pre-dawn,0.531
Chamise,Chamise,Chamise,blue oak,2020,4/4/2022,pre-dawn,0.415
Chamise,Chamise,Chamise,blue oak,2020,4/4/2022,pre-dawn,0.487
Chamise,Chamise,Chamise,blue oak,2020,4/4/2022,pre-dawn,0.998
Chamise,Chamise,Chamise,blue oak,2020,4/4/2022,pre-dawn,0.845
Chamise,Chamise,Chamise,blue oak,2020,4/4/2022,midday,2.3
Chamise,Chamise,Chamise,blue oak,2020,4/4/2022,midday,2.4
Chamise,Chamise,Chamise,blue oak,2020,4/4/2022,midday,2.6
Chamise,Chamise,Chamise,blue oak,2021,4/4/2022,pre-dawn,0.108
Chamise,Chamise,Chamise,blue oak,2021,4/4/2022,pre-dawn,0.138
Chamise,Chamise,Chamise,blue oak,2021,4/4/2022,pre-dawn,0.108
Chamise,Chamise,Chamise,blue oak,2021,4/4/2022,pre-dawn,0.279
Chamise,Chamise,Chamise,blue oak,2021,4/4/2022,pre-dawn,0.208
Chamise,Chamise,Chamise,blue oak,2021,4/4/2022,midday,2.95
Chamise,Chamise,Chamise,blue oak,2021,4/4/2022,midday,2.8
Chamise,Chamise,Chamise,live oak,2022,4/4/2022,pre-dawn,0.278
Chamise,Chamise,Chamise,live oak,2022,4/4/2022,pre-dawn,0.147
Chamise,Chamise,Chamise,live oak,2022,4/4/2022,pre-dawn,0.17
Chamise,Chamise,Chamise,live oak,2022,4/4/2022,pre-dawn,0.156
Chamise,Chamise,Chamise,live oak,2023,4/4/2022,pre-dawn,0.396
Chamise,Chamise,Chamise,live oak,2023,4/4/2022,pre-dawn,0.503
Chamise,Chamise,Chamise,live oak,2023,4/4/2022,pre-dawn,0.318
Chamise,Chamise,Chamise,live oak,2023,4/4/2022,pre-dawn,0.178
Chamise,Chamise,Chamise,live oak,2023,4/4/2022,pre-dawn,0.22
Chamise,Chamise,Chamise,blue oak,2024,4/4/2022,pre-dawn,0.405
Chamise,Chamise,Chamise,blue oak,2024,4/4/2022,pre-dawn,0.445
Chamise,Chamise,Chamise,blue oak,2024,4/4/2022,pre-dawn,0.389
Chamise,Chamise,Chamise,blue oak,2024,4/4/2022,midday,2.2
Chamise,Chamise,Chamise,blue oak,2024,4/4/2022,midday,2.3
Chamise,Chamise,Chamise,blue oak,2025,4/4/2022,pre-dawn,0.101
Chamise,Chamise,Chamise,blue oak,2025,4/4/2022,pre-dawn,0.05
Chamise,Chamise,Chamise,blue oak,2025,4/4/2022,pre-dawn,0.12
Chamise,Chamise,Chamise,blue oak,2025,4/4/2022,pre-dawn,0.113
Chamise,Chamise,Chamise,blue oak,2025,4/4/2022,pre-dawn,0.144
Chamise,Shedd,Chamise (Shedd soil),blue oak,2026,4/4/2022,pre-dawn,0.508
Chamise,Shedd,Chamise (Shedd soil),blue oak,2026,4/4/2022,pre-dawn,0.475
Chamise,Shedd,Chamise (Shedd soil),blue oak,2026,4/4/2022,pre-dawn,0.424
Chamise,Shedd,Chamise (Shedd soil),blue oak,2026,4/4/2022,pre-dawn,0.391
Chamise,Shedd,Chamise (Shedd soil),blue oak,2026,4/4/2022,pre-dawn,0.394
Chamise,Shedd,Chamise (Shedd soil),blue oak,2026,4/4/2022,midday,2.3
Chamise,Shedd,Chamise (Shedd soil),blue oak,2026,4/4/2022,midday,3.5
Chamise,Shedd,Chamise (Shedd soil),blue oak,2026,4/4/2022,midday,2.5
Chamise,Shedd,Chamise (Shedd soil),blue oak,2026,4/4/2022,midday,2.1
Chamise,Shedd,Chamise (Shedd soil),blue oak,2027,4/4/2022,pre-dawn,0.608
Chamise,Shedd,Chamise (Shedd soil),blue oak,2027,4/4/2022,pre-dawn,0.528
Chamise,Shedd,Chamise (Shedd soil),blue oak,2027,4/4/2022,pre-dawn,0.582
Chamise,Shedd,Chamise (Shedd soil),blue oak,2028,4/4/2022,pre-dawn,0.475
Chamise,Shedd,Chamise (Shedd soil),blue oak,2028,4/4/2022,pre-dawn,0.688
Chamise,Shedd,Chamise (Shedd soil),blue oak,2028,4/4/2022,pre-dawn,0.428
Chamise,Shedd,Chamise (Shedd soil),blue oak,2028,4/4/2022,pre-dawn,0.556
Chamise,Shedd,Chamise (Shedd soil),live oak,2029,4/4/2022,pre-dawn,0.158
Chamise,Shedd,Chamise (Shedd soil),live oak,2029,4/4/2022,pre-dawn,0.215
Chamise,Shedd,Chamise (Shedd soil),live oak,2029,4/4/2022,pre-dawn,0.218
Chamise,Shedd,Chamise (Shedd soil),live oak,2029,4/4/2022,pre-dawn,0.324
Chamise,Shedd,Chamise (Shedd soil),live oak,2029,4/4/2022,pre-dawn,0.258
Chamise,Shedd,Chamise (Shedd soil),live oak,2030,4/4/2022,pre-dawn,0.065
Chamise,Shedd,Chamise (Shedd soil),live oak,2030,4/4/2022,pre-dawn,0.222
Chamise,Shedd,Chamise (Shedd soil),live oak,2030,4/4/2022,pre-dawn,0.268
Chamise,Shedd,Chamise (Shedd soil),live oak,2030,4/4/2022,pre-dawn,0.18
Chamise,Shedd,Chamise (Shedd soil),live oak,2030,4/4/2022,pre-dawn,0.208
Chamise,Shedd,Chamise (Shedd soil),blue oak,2031,4/4/2022,pre-dawn,0.212
Chamise,Shedd,Chamise (Shedd soil),blue oak,2031,4/4/2022,pre-dawn,0.188
Chamise,Shedd,Chamise (Shedd soil),blue oak,2031,4/4/2022,pre-dawn,0.328
Chamise,Shedd,Chamise (Shedd soil),blue oak,2031,4/4/2022,pre-dawn,0.248
Cucu Mesa,Low,Lower Cucu,blue oak,2012,4/4/2022,pre-dawn,0.365
Cucu Mesa,Low,Lower Cucu,blue oak,2012,4/4/2022,pre-dawn,0.234
Cucu Mesa,Low,Lower Cucu,blue oak,2012,4/4/2022,pre-dawn,0.626
Cucu Mesa,Low,Lower Cucu,blue oak,2012,4/4/2022,pre-dawn,0.68
Cucu Mesa,Low,Lower Cucu,blue oak,2012,4/4/2022,pre-dawn,0.62
Cucu Mesa,Low,Lower Cucu,blue oak,2013,4/4/2022,pre-dawn,0.718
Cucu Mesa,Low,Lower Cucu,blue oak,2013,4/4/2022,pre-dawn,0.554
Cucu Mesa,Low,Lower Cucu,blue oak,2013,4/4/2022,pre-dawn,0.628
Cucu Mesa,Low,Lower Cucu,blue oak,2013,4/4/2022,pre-dawn,0.886
Cucu Mesa,Low,Lower Cucu,blue oak,2013,4/4/2022,pre-dawn,0.836
Cucu Mesa,Low,Lower Cucu,blue oak,2013,4/4/2022,midday,1.45
Cucu Mesa,Low,Lower Cucu,blue oak,2013,4/4/2022,midday,1.55
Cucu Mesa,Low,Lower Cucu,blue oak,2013,4/4/2022,midday,1.8
Cucu Mesa,Low,Lower Cucu,blue oak,2014,4/4/2022,pre-dawn,0.706
Cucu Mesa,Low,Lower Cucu,blue oak,2014,4/4/2022,pre-dawn,1.156
Cucu Mesa,Low,Lower Cucu,blue oak,2014,4/4/2022,pre-dawn,1
Cucu Mesa,Low,Lower Cucu,blue oak,2014,4/4/2022,pre-dawn,0.355
Cucu Mesa,Low,Lower Cucu,blue oak,2014,4/4/2022,pre-dawn,0.586
Cucu Mesa,Low,Lower Cucu,blue oak,2014,4/4/2022,pre-dawn,0.919
Cucu Mesa,Low,Lower Cucu,blue oak,2014,4/4/2022,midday,2.1
Cucu Mesa,Low,Lower Cucu,blue oak,2014,4/4/2022,midday,2.5
Cucu Mesa,Low,Lower Cucu,blue oak,2014,4/4/2022,midday,2.8
Cucu Mesa,Low,Lower Cucu,blue oak,2015,4/4/2022,pre-dawn,0.498
Cucu Mesa,Low,Lower Cucu,blue oak,2015,4/4/2022,pre-dawn,0.768
Cucu Mesa,Low,Lower Cucu,blue oak,2015,4/4/2022,pre-dawn,0.587
Cucu Mesa,Low,Lower Cucu,blue oak,1478,4/4/2022,pre-dawn,0.878
Cucu Mesa,Low,Lower Cucu,blue oak,1478,4/4/2022,pre-dawn,0.402
Cucu Mesa,Low,Lower Cucu,blue oak,1478,4/4/2022,pre-dawn,0.768
Cucu Mesa,Low,Lower Cucu,blue oak,1478,4/4/2022,pre-dawn,0.519
Cucu Mesa,Low,Lower Cucu,blue oak,1478,4/4/2022,pre-dawn,0.29
LL,Weathertop,,blue oak,2011,4/4/2022,pre-dawn,1.05
LL,Weathertop,,blue oak,2011,4/4/2022,pre-dawn,0.617
LL,Weathertop,,blue oak,2011,4/4/2022,pre-dawn,0.902
Cucu Mesa,High,,blue oak,2008,4/4/2022,pre-dawn,0.698
Cucu Mesa,High,,blue oak,2008,4/4/2022,pre-dawn,0.655
Cucu Mesa,High,,blue oak,2008,4/4/2022,midday,1.8
Cucu Mesa,High,,blue oak,2008,4/4/2022,midday,2.1
Cucu Mesa,High,,blue oak,2008,4/4/2022,midday,1.75
LL,MiddleEarth,AT001,live oak,2352,3/8/2022,pre-dawn,1.51
LL,MiddleEarth,AT001,live oak,2352,3/8/2022,pre-dawn,1.23
LL,MiddleEarth,AT001,live oak,2352,3/8/2022,pre-dawn,1.48
LL,MiddleEarth,AT001,live oak,2352,3/8/2022,midday,3.5
LL,MiddleEarth,AT001,live oak,2352,3/8/2022,midday,1.75
LL,MiddleEarth,AT001,live oak,2352,3/8/2022,midday,1.85
LL,MiddleEarth,AT001,live oak,2352,3/8/2022,midday,2.95
LL,MiddleEarth,AT001,live oak,2352,3/8/2022,midday,2
LL,MiddleEarth,AT001,live oak,2354,3/8/2022,pre-dawn,2.82
LL,MiddleEarth,AT001,live oak,2354,3/8/2022,pre-dawn,2.57
LL,MiddleEarth,AT001,live oak,2354,3/8/2022,pre-dawn,1.82
LL,MiddleEarth,AT001,live oak,2354,3/8/2022,pre-dawn,2.709
LL,MiddleEarth,AT001,live oak,2354,3/8/2022,midday,2.9
LL,MiddleEarth,AT001,live oak,2354,3/8/2022,midday,1.69
LL,MiddleEarth,AT001,live oak,2354,3/8/2022,midday,1.7
LL,MiddleEarth,AT001,live oak,2354,3/8/2022,midday,1.65
LL,MiddleEarth,AT001,blue oak,2365,3/8/2022,pre-dawn,1.82
LL,MiddleEarth,AT001,blue oak,2365,3/8/2022,pre-dawn,1.519
LL,MiddleEarth,AT001,blue oak,2365,3/8/2022,pre-dawn,1.63
LL,MiddleEarth,AT001,blue oak,2365,3/8/2022,midday,1.65
LL,MiddleEarth,AT001,blue oak,2365,3/8/2022,midday,2.8
LL,MiddleEarth,AT001,blue oak,2365,3/8/2022,midday,1.85
LL,MiddleEarth,AT001,blue oak,2366,3/8/2022,pre-dawn,1.538
LL,MiddleEarth,AT001,blue oak,2366,3/8/2022,pre-dawn,1.478
LL,MiddleEarth,AT001,blue oak,2366,3/8/2022,midday,2.01
LL,MiddleEarth,AT001,blue oak,2366,3/8/2022,midday,3
LL,MiddleEarth,AT001,blue oak,2366,3/8/2022,midday,1.85
LL,MiddleEarth,AT001,blue oak,2367,3/8/2022,pre-dawn,1.49
LL,MiddleEarth,AT001,blue oak,2367,3/8/2022,pre-dawn,1.483
LL,MiddleEarth,AT001,blue oak,2367,3/8/2022,midday,2.199
LL,MiddleEarth,AT001,blue oak,2367,3/8/2022,midday,2.305
LL,MiddleEarth,AT001,blue oak,2367,3/8/2022,midday,2.24
LL,MiddleEarth,AT001,blue oak,2369,3/8/2022,pre-dawn,1.46
LL,MiddleEarth,AT001,blue oak,2369,3/8/2022,pre-dawn,1.442
LL,MiddleEarth,AT001,blue oak,2369,3/8/2022,midday,1.472
LL,MiddleEarth,AT001,blue oak,2369,3/8/2022,midday,2.41
LL,MiddleEarth,AT001,blue oak,2369,3/8/2022,midday,2.065
LL,MiddleEarth,AT001,blue oak,2369,3/8/2022,midday,2.86
LL,MiddleEarth,AT001,blue oak,2369,3/8/2022,midday,2.156
LL,MiddleEarth,near AT001,live oak,2376,3/11/2022,pre-dawn,0.91
LL,MiddleEarth,near AT001,live oak,2376,3/11/2022,pre-dawn,0.751
LL,MiddleEarth,near AT001,live oak,2376,3/11/2022,pre-dawn,0.801
LL,MiddleEarth,near AT001,live oak,2376,3/11/2022,midday,2.504
LL,MiddleEarth,near AT001,live oak,2376,3/11/2022,midday,2.231
LL,MiddleEarth,near AT001,live oak,2376,3/11/2022,midday,2.017
LL,MiddleEarth,near AT001,live oak,2376,3/11/2022,midday,4.306
LL,MiddleEarth,near AT001,live oak,2376,3/11/2022,midday,2.836
LL,MiddleEarth,near AT001,live oak,2377,3/8/2022,pre-dawn,0.353
LL,MiddleEarth,near AT001,live oak,2377,3/8/2022,pre-dawn,0.38
LL,MiddleEarth,near AT001,live oak,2377,3/8/2022,midday,1.4
LL,MiddleEarth,near AT001,live oak,2377,3/8/2022,midday,1.45
LL,MiddleEarth,near AT001,live oak,2377,3/8/2022,midday,3
LL,MiddleEarth,near AT001,live oak,2377,3/8/2022,midday,3.15
LL,MiddleEarth,near AT001,live oak,2377,3/8/2022,midday,1.55
LL,MiddleEarth,near AT001,blue oak,2378,3/8/2022,pre-dawn,0.923
LL,MiddleEarth,near AT001,blue oak,2378,3/8/2022,pre-dawn,1.05
LL,MiddleEarth,near AT001,blue oak,2378,3/8/2022,pre-dawn,1.1
LL,MiddleEarth,near AT001,blue oak,2378,3/8/2022,midday,1.85
LL,MiddleEarth,near AT001,blue oak,2378,3/8/2022,midday,2
LL,MiddleEarth,near AT001,blue oak,2378,3/8/2022,midday,1.8
LL,MiddleEarth,near AT001,blue oak,2378,3/8/2022,midday,1.5
LL,MiddleEarth,near AT001,blue oak,2379,3/11/2022,pre-dawn,1.201
LL,MiddleEarth,near AT001,blue oak,2379,3/11/2022,pre-dawn,1.44
LL,MiddleEarth,near AT001,blue oak,2379,3/11/2022,pre-dawn,1.124
LL,MiddleEarth,near AT001,blue oak,2379,3/11/2022,pre-dawn,1.19
LL,MiddleEarth,near AT001,live oak,2380,3/8/2022,pre-dawn,1.07
LL,MiddleEarth,near AT001,live oak,2380,3/8/2022,pre-dawn,0.549
LL,MiddleEarth,near AT001,live oak,2380,3/8/2022,pre-dawn,1.031
LL,MiddleEarth,near AT001,live oak,2380,3/8/2022,pre-dawn,0.549
LL,MiddleEarth,near AT001,live oak,2380,3/8/2022,pre-dawn,0.49
LL,MiddleEarth,near AT001,live oak,2380,3/8/2022,midday,2.37
LL,MiddleEarth,near AT001,live oak,2380,3/8/2022,midday,2.94
LL,MiddleEarth,near AT001,live oak,2380,3/8/2022,midday,2.87
LL,MiddleEarth,near AT001,live oak,2380,3/8/2022,midday,3.139
LL,Hobbiton,AT002,blue oak,2343,3/8/2022,pre-dawn,1.16
LL,Hobbiton,AT002,blue oak,2343,3/8/2022,pre-dawn,1.33
LL,Hobbiton,AT002,blue oak,2343,3/8/2022,pre-dawn,1.228
LL,Hobbiton,AT002,live oak,2345,3/8/2022,pre-dawn,0.255
LL,Hobbiton,AT002,live oak,2345,3/8/2022,pre-dawn,0.407
LL,Hobbiton,AT002,live oak,2345,3/8/2022,pre-dawn,0.243
LL,Hobbiton,AT002,live oak,2345,3/8/2022,midday,1.053
LL,Hobbiton,AT002,live oak,2345,3/8/2022,midday,1.618
LL,Hobbiton,AT002,live oak,2345,3/8/2022,midday,1.4
LL,Hobbiton,AT002,live oak,2345,3/8/2022,midday,1.02
LL,Hobbiton,AT002,live oak,2345,3/8/2022,midday,1.493
LL,Hobbiton,AT002,blue oak,2346,3/8/2022,pre-dawn,1.16
LL,Hobbiton,AT002,blue oak,2346,3/8/2022,pre-dawn,1.332
LL,Hobbiton,AT002,blue oak,2346,3/8/2022,pre-dawn,1.18
LL,Hobbiton,AT002,blue oak,2346,3/8/2022,midday,2.23
LL,Hobbiton,AT002,blue oak,2346,3/8/2022,midday,2.26
LL,Hobbiton,AT002,blue oak,2346,3/8/2022,midday,2.409
LL,Hobbiton,AT002,blue oak,2348,3/8/2022,pre-dawn,1.97
LL,Hobbiton,AT002,blue oak,2348,3/8/2022,pre-dawn,2.36
LL,Hobbiton,AT002,blue oak,2348,3/8/2022,pre-dawn,2.18
LL,Hobbiton,AT002,blue oak,2348,3/8/2022,pre-dawn,2.302
LL,Hobbiton,AT002,blue oak,2349,3/8/2022,pre-dawn,2.57
LL,Hobbiton,AT002,blue oak,2349,3/8/2022,pre-dawn,2.217
LL,Hobbiton,AT002,blue oak,2349,3/8/2022,pre-dawn,2.513
LL,Ridge,AT003,live oak,2331,3/11/2022,pre-dawn,0.927
LL,Ridge,AT003,live oak,2331,3/11/2022,pre-dawn,0.94
LL,Ridge,AT003,live oak,2331,3/11/2022,midday,2.14
LL,Ridge,AT003,live oak,2331,3/11/2022,midday,2.342
LL,Ridge,AT003,live oak,2331,3/11/2022,midday,2.206
LL,Ridge,near AT003,blue oak,2374,3/11/2022,pre-dawn,1.23
LL,Ridge,near AT003,blue oak,2374,3/11/2022,pre-dawn,1.4
LL,Ridge,near AT003,blue oak,2374,3/11/2022,pre-dawn,0.67
LL,Ridge,near AT003,blue oak,2374,3/11/2022,pre-dawn,1.25
LL,Hobbiton,AT004,live oak,2301,3/11/2022,pre-dawn,0.941
LL,Hobbiton,AT004,live oak,2301,3/11/2022,pre-dawn,1.08
LL,Hobbiton,AT004,live oak,2301,3/11/2022,midday,2.26
LL,Hobbiton,AT004,live oak,2301,3/11/2022,midday,2.61
LL,Hobbiton,AT004,live oak,2301,3/11/2022,midday,2.112
LL,Hobbiton,AT004,live oak,2301,3/11/2022,midday,2.19
LL,Weathertop,B1,blue oak,2370,3/8/2022,pre-dawn,1.562
LL,Weathertop,B1,blue oak,2370,3/8/2022,pre-dawn,1.388
LL,Weathertop,B1,blue oak,2370,3/8/2022,pre-dawn,1.401
LL,Weathertop,B2,blue oak,2371,3/11/2022,pre-dawn,1.201
LL,Weathertop,B2,blue oak,2371,3/11/2022,pre-dawn,1.29
LL,Weathertop,B3,blue oak,2372,3/11/2022,pre-dawn,1.52
LL,Weathertop,B3,blue oak,2372,3/11/2022,pre-dawn,1.45
